Date,Close
10/12/18,90.81
10/15/18,91.85
10/16/18,92.11
10/17/18,92
10/18/18,89.92
10/19/18,88.06
10/22/18,85.89
10/23/18,85.18
10/24/18,80.78
10/25/18,83.37
10/26/18,83.11
10/29/18,84.8
10/30/18,86.16
10/31/18,85.73
11/1/18,88.28
11/2/18,88.9
11/5/18,88.97
11/6/18,89.38
11/7/18,90
11/8/18,89.7
11/9/18,88.77
11/12/18,87.29
11/13/18,84.92
11/14/18,84.6
11/15/18,86.05
11/16/18,85.84
11/19/18,84.88
11/20/18,81.65
11/21/18,83.41
11/23/18 13:00,82.38
11/26/18,82.83
11/27/18,82.67
11/28/18,84.04
11/29/18,84.28
11/30/18,84.3
12/3/18,85.49
12/4/18,81.09
12/6/18,80.08
12/7/18,79.89
12/10/18,79
12/11/18,78.71
12/12/18,79.84
12/13/18,78.51
12/14/18,77.77
12/17/18,77
12/18/18,74.99
12/19/18,73.24
12/20/18,73.11
12/21/18,71.77
12/24/18 13:00,70.59
12/26/18,73.34
12/27/18,73.13
12/28/18,72.91
12/31/18,73.33
1/2/19,73.86
1/3/19,74.38
1/4/19,76.37
1/7/19,77.06
1/8/19,77.66
1/9/19,78.4
1/10/19,78.05
1/11/19,77.5
1/14/19,77.93
1/15/19,78.17
1/16/19,79.96
1/17/19,80.63
1/18/19,81.77
1/22/19,81.11
1/23/19,80.74
1/24/19,80.6
1/25/19,81.78
1/28/19,82.65
1/29/19,83.09
1/30/19,85.09
1/31/19,83.11
2/1/19,83.15
2/4/19,84.75
2/5/19,84.96
2/6/19,85.05
2/7/19,86.52
2/8/19,85.26
2/11/19,86.7
2/12/19,87.9
2/13/19,88.8
2/14/19,88.49
2/15/19,90.13
2/19/19,90.73
2/20/19,91.57
2/21/19,91.85
2/22/19,92.37
2/25/19,91.81
2/26/19,90.02
2/27/19,90.74
2/28/19,90.44
3/1/19,90.78
3/4/19,90.1
3/5/19,89.74
3/6/19,87.66
3/7/19,86.38
3/8/19,86.06
3/11/19,86.34
3/12/19,86.25
3/13/19,86.42
3/14/19,86.19
3/15/19,85.83
3/18/19,87.3
3/19/19,84.79
3/20/19,82.2
3/21/19,80.67
3/22/19,77.49
3/25/19,78.23
3/26/19,79.94
3/27/19,79.69
3/28/19,81.36
3/29/19,81.55
4/1/19,83.87
4/2/19,83.16
4/3/19,83.32
4/4/19,84.24
4/5/19,84.6
4/8/19,85.13
4/9/19,83.79
4/10/19,84.75
4/11/19,84.78
4/12/19,86.75
4/15/19,85.07
4/16/19,86.97
4/17/19,87.01
4/18/19,86.29
4/22/19,85.05
4/23/19,87.34
4/24/19,86.16
4/25/19,85.77
4/26/19,86.9
4/29/19,88.05
4/30/19,87.14
